(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 440 - Length 3328	Prob 0.000000e+00
Path 441 - Length 1812	Prob 0.000000e+00
Path 442 - Length 906	Prob 1.109675e-281
Path 443 - Length 620	Prob 1.146539e-194
Path 444 - Length 220	Prob 7.270911e-72
Path 445 - Length 7668	Prob 0.000000e+00
Path 446 - Length 2714	Prob 0.000000e+00
Path 447 - Length 522	Prob 1.197602e-165
Path 448 - Length 25478	Prob 0.000000e+00
Path 449 - Length 3740	Prob 0.000000e+00
Path 450 - Length 6626	Prob 0.000000e+00
Path 451 - Length 10770	Prob 0.000000e+00
Path 452 - Length 3058	Prob 0.000000e+00
Path 453 - Length 1738	Prob 0.000000e+00
Path 454 - Length 2636	Prob 0.000000e+00
Path 455 - Length 12616	Prob 0.000000e+00
Path 456 - Length 1318	Prob 0.000000e+00
Path 457 - Length 1356	Prob 0.000000e+00
Path 458 - Length 5788	Prob 0.000000e+00
Path 459 - Length 302	Prob 5.353103e-98
Path 460 - Length 5378	Prob 0.000000e+00
Path 461 - Length 7798	Prob 0.000000e+00
Path 462 - Length 2140	Prob 0.000000e+00
Path 463 - Length 5056	Prob 0.000000e+00
Path 464 - Length 1988	Prob 0.000000e+00
Path 465 - Length 236	Prob 8.025290e-77
Path 466 - Length 9874	Prob 0.000000e+00
Path 467 - Length 1570	Prob 0.000000e+00
Path 468 - Length 636	Prob 7.322980e-201
Path 469 - Length 1612	Prob 0.000000e+00
Path 470 - Length 2166	Prob 0.000000e+00
Path 471 - Length 26414	Prob 0.000000e+00
Path 472 - Length 1298	Prob 0.000000e+00
Path 473 - Length 710	Prob 8.696393e-220
Path 474 - Length 4604	Prob 0.000000e+00
Path 475 - Length 692	Prob 1.013033e-214
Path 476 - Length 8072	Prob 0.000000e+00
Path 477 - Length 308	Prob 5.424483e-99
Path 478 - Length 1220	Prob 0.000000e+00
Path 479 - Length 12108	Prob 0.000000e+00
Path 480 - Length 3276	Prob 0.000000e+00
Path 481 - Length 634	Prob 1.633371e-198
Path 482 - Length 2084	Prob 0.000000e+00
Path 483 - Length 3434	Prob 0.000000e+00
Path 484 - Length 15316	Prob 0.000000e+00
Path 485 - Length 4522	Prob 0.000000e+00
Path 486 - Length 2240	Prob 0.000000e+00
Path 487 - Length 12908	Prob 0.000000e+00
Path 488 - Length 16934	Prob 0.000000e+00
Path 489 - Length 9794	Prob 0.000000e+00
Path 490 - Length 3110	Prob 0.000000e+00
Path 491 - Length 1028	Prob 1.947842e-313
Path 492 - Length 708	Prob 4.603991e-219
Path 493 - Length 1260	Prob 0.000000e+00
Path 494 - Length 7818	Prob 0.000000e+00
Path 495 - Length 1824	Prob 0.000000e+00
Path 496 - Length 690	Prob 2.218471e-214
Path 497 - Length 942	Prob 1.674102e-291
Path 498 - Length 1562	Prob 0.000000e+00
Path 499 - Length 5422	Prob 0.000000e+00
Path 500 - Length 33204	Prob 0.000000e+00
Path 501 - Length 754	Prob 4.740233e-236
Path 502 - Length 11560	Prob 0.000000e+00
Path 503 - Length 10516	Prob 0.000000e+00
Path 504 - Length 400	Prob 6.194646e-127
Path 505 - Length 622	Prob 2.184315e-195
Path 506 - Length 602	Prob 6.196205e-187
Path 507 - Length 4484	Prob 0.000000e+00
Path 508 - Length 144	Prob 4.140740e-48
Path 509 - Length 444	Prob 2.228113e-140
Path 510 - Length 5572	Prob 0.000000e+00
Path 511 - Length 7780	Prob 0.000000e+00
Path 512 - Length 744	Prob 2.390875e-229
Path 513 - Length 1566	Prob 0.000000e+00
Path 514 - Length 4832	Prob 0.000000e+00
Path 515 - Length 3268	Prob 0.000000e+00
Path 516 - Length 2040	Prob 0.000000e+00
Path 517 - Length 1002	Prob 4.974929e-308
Path 518 - Length 1570	Prob 0.000000e+00
Path 519 - Length 584	Prob 2.808963e-183
Path 520 - Length 728	Prob 9.011977e-228
Path 521 - Length 1744	Prob 0.000000e+00
Path 522 - Length 820	Prob 6.791568e-253
Path 523 - Length 3254	Prob 0.000000e+00
Path 524 - Length 4990	Prob 0.000000e+00
Path 525 - Length 6916	Prob 0.000000e+00
Path 526 - Length 5468	Prob 0.000000e+00
Path 527 - Length 1034	Prob 4.840000e-320
Path 528 - Length 1168	Prob 0.000000e+00
Path 529 - Length 2832	Prob 0.000000e+00
Path 530 - Length 868	Prob 5.696960e-269
Path 531 - Length 1518	Prob 0.000000e+00
Path 532 - Length 15922	Prob 0.000000e+00
Path 533 - Length 5044	Prob 0.000000e+00
Path 534 - Length 748	Prob 2.292666e-234
Path 535 - Length 8466	Prob 0.000000e+00
Path 536 - Length 3236	Prob 0.000000e+00
Path 537 - Length 1142	Prob 0.000000e+00
Path 538 - Length 5246	Prob 0.000000e+00
Path 539 - Length 986	Prob 8.444910e-308
Path 540 - Length 710	Prob 3.497227e-224
Path 541 - Length 3164	Prob 0.000000e+00
Path 542 - Length 3002	Prob 0.000000e+00
Path 543 - Length 1196	Prob 0.000000e+00
Path 544 - Length 520	Prob 5.067510e-163
Path 545 - Length 5994	Prob 0.000000e+00
Path 546 - Length 2256	Prob 0.000000e+00
Path 547 - Length 7160	Prob 0.000000e+00
Path 548 - Length 448	Prob 6.353655e-141
Path 549 - Length 5934	Prob 0.000000e+00
Path 550 - Length 5260	Prob 0.000000e+00
